Summary Label,Avg Generation Cnt,Trimmed Generation Cnt,Avg Elapsed Time (milliseconds),Trimmed Elapsed Time (milliseconds),Population Size,Tournament Size,Max Generations,Initial Tree Height,Max Tree Height,Mutation Tree Height,Initial Generation Method,Reproduction Method,Input Training Data,Final Fitness Goal,Crossover Probability,Reproduction Probability,Mutation Probability
100,11.41,9.9125,234.64,194.9875,700,6,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,9.41,9.1875,206.09,198.4875,700,8,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,25.39,8.2,382.2,196.125,700,10,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,14.11,10.875,335.6,225.225,800,4,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,29.9,9.5125,943.55,214.5375,800,6,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,9.61,8.875,245.65,220.275,800,8,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,80.59,9.25,2849.94,258.9625,800,10,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,30.46,11.0625,1121.97,252.5625,900,4,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,9.37,8.9625,242.02,227.1875,900,6,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
100,8.66,8.4125,241.01,233.4,900,8,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%
