Generation,Elapsed Time (milliseconds),Elapsed Time (mm:ss.mili),Population Size,Tournament Size,Max Generations,Initial Tree Height,Max Tree Height,Mutation Tree Height,Initial Generation Method,Reproduction Method,Input Training Data,Final Fitness Goal,Crossover Probability,Reproduction Probability,Mutation Probability,Final Fitness,Final Height,Final isValid,First Fitness,First Height,First isValid,Final Tree,First Tree
11,31," 00:00.31 ",100,6,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,3.5390257835388184E-8,6,true,1.7336232014552082E10,4,true,((2-(-3+(0/8)))-8)+((x+(((7+-3)/(x+x))+x))/((7+-3)/(x+x))),(((-8+9)*(-3+-8))-((-2/3)/(-4*-5)))*(((3+x)+(6*5))*((x/6)/(0+-8)))
12,32," 00:00.32 ",100,6,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,0.0,4,true,2.2461966179E10,4,true,(((x*7)/(4--3))*x)-(-6+8),(((-1+-9)/(-1*9))-((-5+-4)+(3+0)))*(((x*7)+(6--3))-((5/-4)-(-3+-7)))
15,39," 00:00.39 ",100,6,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,0.0,6,true,2.2465136397E10,4,true,((x*(x+-2))/((0+-7)-(8*-1)))-(((8-((8*-1)+8))-(6+9))-((x+-9)+x)),(((-4*-8)*(x+-2))/((0+-7)-(8*-1)))-(((-9+2)-(6+8))-((-2-4)+(2*x)))
26,70," 00:00.70 ",100,6,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,0.0,4,true,2.23390999721E10,4,true,(((5-5)-(7/7))-(7/7))-(x*((-3--3)-x)),(((-7+-8)+(5-3))+((7--5)-(x*2)))*(((9*-8)+(4-4))*((5--1)-(7/5)))
35026,35889," 00:35.889 ",100,6,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,1.1102230246251565E-16,3,true,2.2384478418E10,4,true,x*((-2/x)+x),(((6+-3)-(-4*-6))*((-1*x)-(1*-3)))*(((-9/-8)*(-6/-1))+((4+9)-(-1/1)))
27412,28378," 00:28.378 ",100,6,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,0.0,2,true,1.99907843335E10,4,true,(x*x)-2,(((3--3)-(-2--8))-((6*-8)*(x+x)))/(((0--1)/(-8/1))/((-7*4)+(4+6)))
34,98," 00:00.98 ",100,6,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,1.1102230246251565E-16,3,true,2.055642163075E10,4,true,x*((-2/x)+x),(((8+7)/(1/-6))+((2/-4)*(1/-7)))*(((7*x)*(8--3))*((-5-1)*(2/8)))
24,75," 00:00.75 ",100,6,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,0.0,5,true,294.9271499199566,4,true,(((-7/-7)-(5+0))-((-6/8)-(2*3)))+(((-6+1)+(x*x))-((5/5)/(-3-(-7/-7)))),(((-7/5)-(5+0))-((-6/8)-(-7*3)))+(((-6+1)+(x*x))-((-5--9)/(-3-x)))
15,40," 00:00.40 ",100,6,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,0.0,6,true,1.685156410125E10,4,true,(((1-x)-(-3--8))*(6+(-2-x)))+((((-9-(-3--8))*5)*1)/((0/1)-5)),(((1-x)-(-3--8))*((x/-4)+(-6-5)))+(((-9-0)*(2+-6))/((0/-2)-(-6*-6)))
11,28," 00:00.28 ",100,6,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,0.0,4,true,1004777.5,4,true,-2-(-1-((1-x)*(-1-x))),(((-1*-1)+(1+9))/((-8*-2)/(3*4)))-(((-7--1)*(-7/-3))-((1-x)*(-6-x)))
